id,name,link,image
34,Nandhini Deluxe,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/50714/527f3baa5ed9aa3a739c36f9fc410404_o2_featured_v2.jpg
35,Chickpet Donne Biryani House,https://www.zomato.com/bangalore/chickpet-donne-biryani-house-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/18414356/522c841b508bc12db4802df4fdd88b18_o2_featured_v2.jpg
36,CakeZone Patisserie,https://www.zomato.com/bangalore/cakezone-patisserie-hosur-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/7/18379377/0f3eef86f5391552cd1f389134898131_o2_featured_v2.jpg
37,Namaste,https://www.zomato.com/bangalore/namaste-malleshwaram-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/18924790/2bb03e756465e70fee66ed043a4fa6f0_o2_featured_v2.jpeg
38,Wendy's Burgers,https://www.zomato.com/bangalore/wendys-burgers-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/2/19813432/cd6ce0f63cbf06f343de64700ee68ffe_o2_featured_v2.jpg
39,Aromas Of Biryani,https://www.zomato.com/bangalore/aromas-of-biryani-1-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/18585428/13bb7ab3d052256f7d4b17cbb404dd5e_o2_featured_v2.jpg
40,Dindigul Thalappakatti,https://www.zomato.com/bangalore/dindigul-thalappakatti-mg-road-bangalore/order,
41,Ambur Star Briyani Since 1890,https://www.zomato.com/bangalore/ambur-star-briyani-since-1890-indiranagar-bangalore/order,
42,Subway,https://www.zomato.com/bangalore/subway-lavelle-road/order,
43,Bowl Soul,https://www.zomato.com/bangalore/bowl-soul-richmond-town-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/20081031/bb650a06b1b9ea242a122fb5b7aa6b60_o2_featured_v2.jpg
44,Natural Ice Cream,https://www.zomato.com/bangalore/natural-ice-cream-st-marks-road/order,https://b.zmtcdn.com/data/pictures/4/50724/adb20cc3d424971e06802e03adcf5a44_o2_featured_v2.jpg
45,Paakashala,https://www.zomato.com/bangalore/paakashala-ulsoor-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/55400/dece41a2ffa479cc6f19d5632f180b2d_o2_featured_v2.jpg
46,The Belgian Waffle Co.,https://www.zomato.com/bangalore/the-belgian-waffle-co-seshadripuram-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/18624503/33c76f241b02e6657c0725d1da8f982e_o2_featured_v2.jpg
47,Roti-Wala.Com,https://www.zomato.com/bangalore/roti-wala-com-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/8/18556248/bd1fa36b0f32ff22a6baf82d181757da_o2_featured_v2.jpg
48,Behrouz Biryani,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/18343993/a8c84349c1138e70cf3870a850f5e29d_o2_featured_v2.jpg
49,Andhra Gunpowder,https://www.zomato.com/bangalore/andhra-gunpowder-seshadripuram-bangalore/order,
50,Kannur Food Kitchen,https://www.zomato.com/bangalore/kannur-food-kitchen-btm-bangalore/order,
51,Kwalitywall's Frozen Dessert And Ice Cream Shop,https://www.zomato.com/bangalore/kwalitywalls-frozen-dessert-and-ice-cream-shop-wilson-garden-bangalore/order,
52,Kapoor's Cafe,https://www.zomato.com/bangalore/kapoors-cafe-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/58271/ea3044ec553419682e64b98fd9340831_o2_featured_v2.jpg
53,Sri Udupi Food Hub,https://www.zomato.com/bangalore/sri-udupi-food-hub-shivajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/0/20890290/7e168e969cbe6672e867dcf08e460da2_o2_featured_v2.jpg
54,The Punjabi Rasoi,https://www.zomato.com/bangalore/the-punjabi-rasoi-indiranagar/order,https://b.zmtcdn.com/data/pictures/7/51017/2c2384e48ea1d8814949f62935d30d7e_o2_featured_v2.jpg
55,NIC Ice Creams,https://www.zomato.com/bangalore/nic-ice-creams-frazer-town-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/19316300/d0062ae25464aa823fa292a70f8fd10b_o2_featured_v2.jpg
56,Rolls On Wheels - Shawarma & Wraps,https://www.zomato.com/bangalore/rolls-on-wheels-shawarma-wraps-st-marks-road-bangalore/order,https://b.zmtcdn.com/data/pictures/9/20693119/bdb0f8393a4ab5732575614d6fec0157_o2_featured_v2.jpg
57,Faasos - Wraps & Rolls,https://www.zomato.com/bangalore/faasos-wraps-rolls-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/54308/81cab239d11c646e76cc35b01b25c180_o2_featured_v2.jpg
58,Chicking,https://www.zomato.com/bangalore/chicking-1-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/19624800/4e7ea47a8a66ca4648939e523ef76207_o2_featured_v2.jpg
59,Chinese Wok,https://www.zomato.com/bangalore/chinese-wok-hosur-road-bangalore/order,https://b.zmtcdn.com/data/pictures/8/19786578/d26a19eb9a008f75323c09ed12ef25a6_o2_featured_v2.jpg
60,WOW! Momo,https://www.zomato.com/bangalore/wow-momo-church-street-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/54644/7c803609ec13fae003ec534f7c90e5db_o2_featured_v2.jpg
61,Lassi Shop,https://www.zomato.com/bangalore/lassi-shop-majestic-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/60069/b5715d104a2580bb908f126b8dee7028_o2_featured_v2.jpeg
62,EatFit,https://www.zomato.com/bangalore/eatfit-cunningham-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/18548293/b2daa8280cfa4aef1d16e31d97d98eac_o2_featured_v2.jpg
63,Sri Udupi Park,https://www.zomato.com/bangalore/sri-udupi-park-residency-road/order,https://b.zmtcdn.com/data/pictures/chains/6/59916/95177ed226010a6be13935df30d552e4_o2_featured_v2.jpg
64,Narmada Chain of Restaurants,https://www.zomato.com/bangalore/narmada-chain-of-restaurants-frazer-town-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/7/20273127/f15dc3b2bf69af937c31389c021be7a1_o2_featured_v2.jpg
65,Pizza@99,https://www.zomato.com/bangalore/pizza@99-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/4/20193534/9fcfe4fd52273d3993f7735600d476e7_o2_featured_v2.jpg
66,Paradise Biryani - A Legend Since 1953,https://www.zomato.com/bangalore/paradise-biryani-a-legend-since-1953-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/59680/ffe818f31c56896e014f59c7b711568c_o2_featured_v2.jpg
67,The Pizza Bakery,https://www.zomato.com/bangalore/the-pizza-bakery-church-street-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/18603822/b3308f7fbe6a3af401ee578c0c0dc9ab_o2_featured_v2.jpg
68,Chowman,https://www.zomato.com/bangalore/chowman-hosur-road-bangalore/order,https://b.zmtcdn.com/data/pictures/8/20913858/57565267c987fc9f2b351b631034df82_o2_featured_v2.jpg
69,Ambur Hot Dum Biryani,https://www.zomato.com/bangalore/ambur-hot-dum-biryani-btm/order,https://b.zmtcdn.com/data/pictures/0/61010/09e7e40ef2591f14cf7649dfe2a4fddf_o2_featured_v2.jpg
70,Taco Bell,https://www.zomato.com/bangalore/taco-bell-brigade-road-bangalore/order,https://b.zmtcdn.com/data/pictures/2/18820472/73a0331b3dd8388e0d510694f5d39474_o2_featured_v2.jpg
71,WarmOven Cake & Desserts,https://www.zomato.com/bangalore/warmoven-cake-desserts-vasanth-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/5/57215/6e173e79e4cadfb1aa44b7b902d6c615_o2_featured_v2.jpg
72,Royal Restaurant,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order,https://b.zmtcdn.com/data/pictures/chains/2/52122/56792a94504e5cbdccce4fc0c987e259_o2_featured_v2.jpg
73,Theobroma,https://www.zomato.com/bangalore/theobroma-lavelle-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/19938760/69127dbf553e93648244126bc375bba4_o2_featured_v2.jpg
74,Sai Prasadam,https://www.zomato.com/bangalore/sai-prasadam-vijay-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/4/17946104/e6b350fb7335280fb09d74bbbcf7dfd2_o2_featured_v2.jpg
75,Cakewala,https://www.zomato.com/bangalore/cakewala-koramangala-5th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/52161/789d4fa0f3569f91287af3a51f1040b6_o2_featured_v2.jpg
